Hybridization REF	13685041.gpr	13685040.gpr	13685153.gpr	13685151.gpr	13685042.gpr
Reporter REF	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M	Software Unknown:M
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P202057 Tbc1d7 ProximalPromoter	-0.019	0.233	0.075	0.13	0.074
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204362 Epc1 ProximalPromoter	0.027	0.075	-0.021	-0.085	0.122
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204536 Hsp90ab1 ProximalPromoter	0.11	0.107	-0.222	-0.071	0.088
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205476 Hck ProximalPromoter	-0.025	-0.016	-0.121	-0.391	-0.093
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206531 Hpxn ProximalPromoter	0.767	0.806	1.39	0.524	0.733
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201064 Plin ProximalPromoter	-0.189	-0.164	-0.178	-0.111	0.026
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207837 1700028P14Rik ProximalPromoter	-0.031	0.026	-0.12	-0.312	0.387
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210829 Aard ProximalPromoter	-0.086	0.26	0.052	-0.079	0.276
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208658 9130401M01Rik ProximalPromoter	0.088	0.192	-0.044	0.181	0.167
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200085 Mdm2 ProximalPromoter	0.036	0.15	-0.045	-0.207	0.028
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210757 9530004A22Rik ProximalPromoter	0.216	0.224	-0.297	0.074	0.102
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	-0.025	0.034	-0.14	-0.05	0.081
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100612 Ube2h ProximalPromoter	-0.395	-0.343	0.374	0.264	-0.371
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101362 Pkd2l2 ProximalPromoter	-0.156	-0.141	0.156	0.126	-0.434
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102213 Col9a1 ProximalPromoter	0.222	0.222	-0.58	-0.2	-0.018
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103335 Exoc7 ProximalPromoter	-0.069	-0.078	0.203	-0.029	-0.099
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104085 C8a ProximalPromoter	-0.131	-0.007	0.24	0.075	-0.055
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P107007  DistalPromoter	-0.403	-0.287	0.336	0.336	-0.266
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105183 Ltbp1 DistalPromoter	0.099	-0.105	0.15	0.123	-0.175
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105549 Cttnbp2nl DistalPromoter	0.117	0.173	-0.099	0.025	0.205
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P000972 Blank	-0.077	0.073	-0.037	-0.04	0.048
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207021 4631427C17Rik ProximalPromoter	-0.008	0.002	-0.001	0.056	-0.21
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201548 Tmem16d ProximalPromoter	-0.02	-0.056	0.069	0.025	-0.028
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204338 Slc26a2 ProximalPromoter	-0.037	-0.056	0.051	-0.028	0.055
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204512 Hcls1 ProximalPromoter	-0.037	0.021	0.033	-0.08	0.048
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205452 Grb7 ProximalPromoter	0.04	-0.008	0.139	0.107	0.09
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206598 Syt10 ProximalPromoter	-0.061	-0.055	-0.009	-0.011	-0.044
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201040 Ntn2l ProximalPromoter	-0.001	0.075	-0.03	-0.184	-0.013
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207812 Srpr ProximalPromoter	0.068	0.345	-0.105	-0.039	-0.064
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210805 Gimap4 ProximalPromoter	0.076	0.142	-0.052	-0.087	0.092
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208060 Sycn ProximalPromoter	-0.014	-0.088	-0.053	0.038	-0.048
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200061 Txndc12 ProximalPromoter	-0.008	0.134	-0.197	0.023	0.105
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210733  ProximalPromoter	-0.148	0.043	0.443	-0.095	-0.213
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.052	0.076	-0.105	-0.026	0.019
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100588 Tnfaip2 ProximalPromoter	-0.236	-0.072	-0.009	0.09	-0.152
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101428 Lmna ProximalPromoter	-0.075	-0.146	0.111	0.148	-0.299
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102189 Ccnd1 ProximalPromoter	0.134	0.127	-0.202	-0.227	0.144
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103311 Scly ProximalPromoter	0.06	0.009	-0.201	-0.059	-0.077
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104061 Eif2b1 ProximalPromoter	0.044	-0.066	0.075	0.265	-0.152
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104613  DistalPromoter	-0.062	-0.065	-0.033	0.106	-0.024
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105159  DistalPromoter	0.03	-0.091	0.006	0.006	0.071
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105525 2700060E02Rik DistalPromoter	0.011	-0.026	0.009	0.018	-0.092
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P000876 Blank	-0.024	0.06	-0.004	-0.032	-0.012
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207088 Pxmp4 ProximalPromoter	-0.114	-0.333	0.14	0.159	0.013
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201524 A230091H23Rik ProximalPromoter	0.008	-0.018	0.083	-0.322	0.082
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204314 Dcn ProximalPromoter	-0.095	-0.032	0.146	0.058	-0.018
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204488 Gspt2 ProximalPromoter	-0.247	-0.277	0.203	0.221	-0.199
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205824 Selp ProximalPromoter	0.159	-0.065	-0.162	-0.178	-0.06
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206574 Sult1c1 ProximalPromoter	0.01	-0.013	-0.012	-0.077	-0.013
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201015 1700123O20Rik ProximalPromoter	0.148	0.087	0.002	0.108	-0.016
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207788 Snrpd3 ProximalPromoter	0.11	0.068	0.419	0.216	0.179
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001367 Blank	0.016	-0.071	0.103	0.213	0.061
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208036 4930547C10Rik ProximalPromoter	0.147	0.221	0.112	0.139	0.38
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200037 Fbxl22 ProximalPromoter	-0.101	-0.116	-0.057	0.022	0.1
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210709 Shprh ProximalPromoter	0.068	-0.014	-0.235	0.118	0.161
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.Blank Empty	0.081	0.103	-0.085	-0.022	0.012
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100282 Cd79b ProximalPromoter	-0.137	-0.014	0.098	0.023	-0.097
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101404 Ptf1a ProximalPromoter	-0.061	-0.157	-0.024	-0.072	-0.095
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102165 Barx1 ProximalPromoter	-0.162	-0.142	0.179	0.14	-0.171
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103287  ProximalPromoter	-0.104	-0.279	0.358	0.341	-0.2
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104127 Aqp6 ProximalPromoter	-0.004	0.022	0.524	-0.261	0.034
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104589 B2m DistalPromoter	-0.011	0.009	0.127	0.065	-0.036
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105135 Ruvbl1 DistalPromoter	-0.077	-0.001	-0.113	0.042	-0.038
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105501 Uqcrb DistalPromoter	0.156	0.058	-0.063	-0.072	0.137
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P000798 Blank	0.085	-0.163	-0.008	-0.008	0.036
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207064 Treh ProximalPromoter	-0.238	-0.322	-0.086	0.028	-0.13
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201500 Ric3 ProximalPromoter	0.093	0.102	-0.186	-0.458	0.127
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204290 Crygb ProximalPromoter	-0.199	-0.199	-0.119	0.013	0.011
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204554 Ifit3 ProximalPromoter	0.16	0.186	0.088	0.049	-0.092
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205800 Xpr1 ProximalPromoter	-0.13	-0.152	0.157	0.042	0.013
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206549 Sept1 ProximalPromoter	0.158	0.041	-0.053	0.143	0.073
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200991 Mical2 ProximalPromoter	0.069	-0.106	-0.139	-0.019	0.058
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200288 2310007F04Rik ProximalPromoter	0.004	-0.114	-0.11	-0.116	0.218
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001343 Blank	-0.114	-0.006	0.002	0.006	-0.053
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208012 Mtap1b ProximalPromoter	0.098	0.377	-0.18	0.074	0.489
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200013 D14Ertd449e ProximalPromoter	0.059	0.41	-0.138	-0.132	0.158
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210775 Cypt4 ProximalPromoter	-0.004	0.059	-0.166	-0.156	-0.108
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001727 Blank	0.044	0.393	-0.125	-0.237	0.059
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100258  ProximalPromoter	0.012	0.008	-0.08	0.021	-0.13
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101380 Snx3 ProximalPromoter	-0.085	-0.086	-0.039	0.093	-0.174
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102141 Apoa4 ProximalPromoter	0.03	-0.039	0.234	0.165	0.008
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102981 Pck1 ProximalPromoter	0.138	-0.13	0.704	0.46	-0.062
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104103 Pde5a ProximalPromoter	-0.057	-0.071	0.137	0.107	-0.024
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104565 Map3k12 DistalPromoter	0.029	-0.119	-0.028	-0.035	0.108
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105111 Gas6 DistalPromoter	-0.076	-0.184	0.271	0.217	-0.304
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P000772 Blank	0.021	0.064	0.039	0.02	0.183
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106558 C1sb DistalPromoter	-0.02	-0.096	-0.01	0.048	-0.12
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207040 Trim54 ProximalPromoter	-0.03	0.002	0.057	0.35	-0.144
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201475 A130050O07Rik ProximalPromoter	0.164	-0.098	0.091	0.026	0.025
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203881 Cacna2d2 ProximalPromoter	0.051	0.085	-0.043	-0.053	0.005
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204530  ProximalPromoter	0.113	-0.026	-0.1	0.339	0.058
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205775 Ptprr ProximalPromoter	0.02	-0.009	-0.023	-0.052	0.127
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206525 Oat ProximalPromoter	-0.002	-0.13	0.048	0.063	-0.07
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201058  ProximalPromoter	0.104	0.068	-0.175	-0.185	0.073
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200262  ProximalPromoter	-0.018	0.015	-0.006	-0.001	-0.004
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210823 A930002I21Rik ProximalPromoter	0.134	0.048	0.036	0.247	0.221
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207988 Atp5s ProximalPromoter	0.028	-0.053	-0.02	-0.148	0.034
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208254 Sf4 ProximalPromoter	0.071	0.07	-0.185	-0.163	0.028
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210751 Gpr20 ProximalPromoter	0.09	-0.13	0.191	-0.347	0.034
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001727 Blank	-0.042	0.07	-0.029	-0.028	-0.058
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100234 Gsta1 ProximalPromoter	-0.013	-0.139	0.034	0.185	-0.15
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101356 Sec61a1 ProximalPromoter	-0.076	0.098	-0.054	-0.051	0.076
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102207 Col12a1 ProximalPromoter	-0.396	-0.239	0.363	0.288	-0.393
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102957 Nfkbib ProximalPromoter	0.061	0.123	-0.017	0.103	0.231
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104079 Col6a2 ProximalPromoter	-0.12	-0.065	0.221	0.08	-0.119
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104541 Tpp2 DistalPromoter	0.122	-0.001	-0.152	-0.107	0.116
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104997 Hist1h1c DistalPromoter	-0.181	-0.076	0.212	0.311	-0.065
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105543 Ivns1abp DistalPromoter	0.088	-0.083	0.32	0.17	-0.118
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106536 Eif2c3 DistalPromoter	0.032	0.043	-0.058	-0.106	0.165
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207013 Pdcd1lg2 ProximalPromoter	-0.048	-0.012	0.02	0.075	0.022
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201542 Sema4g ProximalPromoter	0.248	-0.033	0.037	0.131	0.468
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203857 BC055111 ProximalPromoter	0.052	0.058	-0.089	-0.112	0.072
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204506 Has1 ProximalPromoter	0.277	0.179	0.089	0.141	0.484
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205751 Prlpc1 ProximalPromoter	0.312	0.082	0.058	0.179	0.009
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201644 Pilra ProximalPromoter	-0.011	-0.124	0.353	-0.542	0.564
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201033 Zfp160 ProximalPromoter	0.185	-0.311	-0.148	0.015	-0.171
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200238  ProximalPromoter	0.075	0.253	-0.005	-0.052	0.116
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210799 2700007P21Rik ProximalPromoter	0.195	0.136	0.044	-0.058	-0.126
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208054 Etfb ProximalPromoter	0.439	0.783	-0.116	0.308	0.715
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208230 2310051M13Rik ProximalPromoter	0.276	0.125	-0.375	-0.288	-0.117
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210727 Cntn4 ProximalPromoter	0.055	0.019	-0.191	-0.045	0.013
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001631 Blank	0.014	0.074	-0.06	-0.03	-0.036
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100210 Gata4 ProximalPromoter	0.017	0.022	0.029	-0.062	0.011
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101050  ProximalPromoter	-0.019	0.005	0.198	0.262	0.124
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102183 Canx ProximalPromoter	-0.211	-0.299	0.291	0.133	-0.347
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102933 Mafg ProximalPromoter	0.04	-0.33	0.241	0.304	-0.149
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104055 C1s ProximalPromoter	-0.117	-0.254	0.079	0.241	-0.278
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104607 Casp6 DistalPromoter	-0.085	-0.114	-0.13	0.132	-0.084
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104973 Sfrp1 DistalPromoter	0.157	-0.084	-0.019	0.105	-0.138
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105519 2510049I19Rik DistalPromoter	0.251	-0.003	0.052	0.129	0.017
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106514 Eif4g1 DistalPromoter	0.041	-0.197	0.113	0.239	0.195
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203590 Vtcn1 ProximalPromoter	0.057	-0.026	0.093	0.175	0.069
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201518  ProximalPromoter	0.15	-0.04	-0.008	-0.017	0.085
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203833 Frmd6 ProximalPromoter	0.062	0.149	-0.114	-0.123	0.352
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P204482 Grin2a ProximalPromoter	0.054	0.056	-0.052	0.08	0.273
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205818 Ccl1 ProximalPromoter	0.126	-0.05	-0.057	-0.122	0.088
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201620 Galm ProximalPromoter	0.673	0.489	0.062	-0.017	0.449
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201009 Wiz ProximalPromoter	-0.143	0.277	-0.2	0.12	0.282
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200214 Zfp535 ProximalPromoter	-0.151	0.131	-0.02	0.112	0.051
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210685 4933405O20Rik ProximalPromoter	0.287	-0.1	-0.167	0.088	-0.152
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208030 Trmt12 ProximalPromoter	0.118	0.138	-0.259	-0.172	0.291
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208205 2010107G23Rik ProximalPromoter	-0.118	-0.101	-0.155	0.033	0.293
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210703  ProximalPromoter	-0.001	-0.006	-0.035	-0.004	0.049
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001907 Blank	-0.056	0.036	0.024	-0.002	-0.001
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100276 Hspe1 ProximalPromoter	0.158	0.159	0.01	-0.074	0.085
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101026 Sdc4 ProximalPromoter	-0.035	0.063	0.404	0.772	-0.037
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102159 Ccdc70 ProximalPromoter	-0.278	-0.338	0.319	0.046	-0.299
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102909 Kcnj11 ProximalPromoter	0.03	0.057	0.001	0.062	0.068
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103749  ProximalPromoter	0.302	0.193	-0.162	-0.239	0.23
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104583 Tomm40 DistalPromoter	0.038	0.07	-0.079	-0.02	0.109
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104949 Tcf4 DistalPromoter	-0.09	-0.128	0.295	0.14	-0.127
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105495 3632451O06Rik DistalPromoter	0.04	-0.025	-0.087	-0.222	-0.091
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P000792 Blank	0.026	-0.251	0.048	0.211	-0.248
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203566 Efemp1 ProximalPromoter	0.033	0.058	-0.001	-0.092	0.003
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201494 2810403A07Rik ProximalPromoter	0.18	0.313	0.102	-0.039	0.257
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203808 Mrpl32 ProximalPromoter	0.106	-0.077	0.044	-0.075	0.01
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201354 2510003E04Rik ProximalPromoter	0.069	0.014	-0.431	-0.171	0.092
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205793 Pitpnm2 ProximalPromoter	0.273	0.243	0.003	-0.274	0.218
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201596 Ints10 ProximalPromoter	0.129	0.054	0.151	0.153	0.062
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200985 Hist1h2be ProximalPromoter	0.188	0.078	-0.28	0.168	0.093
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200281 2300006N05Rik ProximalPromoter	0.168	-0.141	-0.003	-0.298	0.421
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210660 1110029E03Rik ProximalPromoter	0.173	0.026	0.001	-0.215	0.062
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208006 B230118H07Rik ProximalPromoter	0.237	-0.078	0.029	-0.152	0.083
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208181 Ndufaf1 ProximalPromoter	-0.046	-0.107	0.156	0.075	0.198
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209227 Tlr7 ProximalPromoter	0.277	0.028	0.121	0.162	0.36
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001811 Blank	-0.026	0.063	-0.032	0.05	-0.008
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100252 Hcls1 ProximalPromoter	-0.192	-0.151	-0.147	0.006	-0.07
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101002 Serf2 ProximalPromoter	-0.097	0.055	0.107	-0.113	-0.042
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102135 Aldh3a1 ProximalPromoter	-0.323	-0.139	0.26	0.258	-0.2
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P102975 Rpsa ProximalPromoter	0.119	0.058	0.099	-0.098	-0.045
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P103725 Fabp4 ProximalPromoter	0.098	-0.065	0.174	0.036	0.04
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104559 Uros DistalPromoter	-0.079	-0.081	0.036	0.177	-0.076
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P104925 Grcc10 DistalPromoter	0.122	-0.059	-0.063	0.109	-0.004
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P105381 Sdhc DistalPromoter	-0.035	-0.072	0.258	0.182	-0.111
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P106550 Tcfe3 DistalPromoter	0.155	0.026	-0.084	0.045	0.186
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203542 Card14 ProximalPromoter	0.088	-0.335	-0.171	0.134	-0.211
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201469 Parp9 ProximalPromoter	0.132	0.059	-0.027	0.107	0.13
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P203875 Tgfb1i1 ProximalPromoter	0.06	-0.058	-0.048	0.148	0.069
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201330 AI173486 ProximalPromoter	0.157	0.083	-0.08	0.005	0.226
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P205769 Ptpn1 ProximalPromoter	0.12	-0.03	0.089	0.18	0.076
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P201572 Nckap1l ProximalPromoter	0.1	0.263	0.116	0.453	0.352
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P206117 Tpsg1 ProximalPromoter	0.048	0.043	-0.035	0.002	0.051
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P200256 Imp4 ProximalPromoter	-0.078	0.051	0.121	0.108	0.119
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P210636 BC060677 ProximalPromoter	0.069	0.023	0.107	-0.208	0.112
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P207982 2900009I07Rik ProximalPromoter	0.364	0.276	-0.389	-0.217	0.382
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P208248  ProximalPromoter	-0.072	-0.13	-0.186	-0.358	0.328
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P209203 Ddx48 ProximalPromoter	0.064	0.046	-0.127	-0.052	0.379
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P001715 Blank	0.047	0.067	-0.03	0.065	-0.004
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100228 Gpi1 ProximalPromoter	-0.149	-0.178	0.153	0.164	-0.122
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P100978 Rpl10a ProximalPromoter	0.114	-0.117	-0.194	-0.132	-0.058
ebi.ac.uk:MIAMExpress:Reporter:A-MEXP-1165.P101818 Emid2 ProximalPromoter	-0.068	-0.206	0.319	0.137	-0.047
